Country,Region,Year,Happiness Rank,Happiness Score,Health,Trust,Family,Economy,Freedom,Generosity
Switzerland,Western Europe,2015,1,7.587000000000001,0.9414299999999999,0.41978000000000004,1.34951,1.3965100000000001,0.66557,0.29678000000000004
Iceland,Western Europe,2015,2,7.561,0.94784,0.14145,1.4022299999999999,1.3023200000000001,0.6287699999999999,0.4363
Denmark,Western Europe,2015,3,7.527,0.87464,0.48357,1.36058,1.32548,0.6493800000000001,0.34139
Norway,Western Europe,2015,4,7.522,0.88521,0.36503,1.33095,1.459,0.66973,0.34699
Canada,North America,2015,5,7.4270000000000005,0.9056299999999999,0.32957,1.32261,1.32629,0.63297,0.45811
Finland,Western Europe,2015,6,7.406000000000001,0.8891100000000001,0.41372,1.31826,1.29025,0.64169,0.23351
Netherlands,Western Europe,2015,7,7.377999999999999,0.89284,0.31814000000000003,1.28017,1.32944,0.6157600000000001,0.4761
Sweden,Western Europe,2015,8,7.364,0.9108700000000001,0.43843999999999994,1.2890700000000002,1.33171,0.6598,0.36262
New Zealand,Australia and New Zealand,2015,9,7.2860000000000005,0.9083700000000001,0.42922,1.3196700000000001,1.2501799999999998,0.6393800000000001,0.47501000000000004
Australia,Australia and New Zealand,2015,10,7.284,0.93156,0.35636999999999996,1.30923,1.33358,0.6512399999999999,0.43562
Israel,Middle East and Northern Africa,2015,11,7.278,0.9138700000000001,0.07785,1.22393,1.2285700000000002,0.41318999999999995,0.33171999999999996
Costa Rica,Latin America and Caribbean,2015,12,7.226,0.8602700000000001,0.10583,1.2378799999999999,0.95578,0.63376,0.25497
Austria,Western Europe,2015,13,7.2,0.8904200000000001,0.18675999999999998,1.29704,1.33723,0.62433,0.33088
Mexico,Latin America and Caribbean,2015,14,7.187,0.8144399999999999,0.21311999999999998,0.91451,1.02054,0.48181,0.14074
United States,North America,2015,15,7.119,0.86179,0.1589,1.24711,1.3945100000000001,0.54604,0.40105
Brazil,Latin America and Caribbean,2015,16,6.983,0.69702,0.17521,1.2328700000000001,0.98124,0.49049,0.14574
Luxembourg,Western Europe,2015,17,6.946000000000001,0.91894,0.37798000000000004,1.21963,1.5639100000000001,0.61583,0.28034000000000003
Ireland,Western Europe,2015,18,6.94,0.89533,0.28703,1.36948,1.33596,0.6177699999999999,0.45901000000000003
Belgium,Western Europe,2015,19,6.937,0.8966700000000001,0.2254,1.28566,1.30782,0.5845,0.2225
United Arab Emirates,Middle East and Northern Africa,2015,20,6.901,0.80925,0.38583,1.12575,1.42727,0.64157,0.26428
United Kingdom,Western Europe,2015,21,6.867000000000001,0.90943,0.32066999999999996,1.28548,1.26637,0.59625,0.51912
Oman,Middle East and Northern Africa,2015,22,6.853,0.76276,0.32524000000000003,1.08182,1.36011,0.63274,0.21541999999999997
Venezuela,Latin America and Caribbean,2015,23,6.81,0.7205199999999999,0.11069000000000001,1.25596,1.04424,0.42908,0.058410000000000004
Singapore,Southeastern Asia,2015,24,6.797999999999999,1.02525,0.4921,1.02,1.52186,0.54252,0.31105
Panama,Latin America and Caribbean,2015,25,6.7860000000000005,0.79661,0.0927,1.1985,1.0635299999999999,0.5421,0.24434
Germany,Western Europe,2015,26,6.75,0.89186,0.21843,1.2993700000000001,1.32792,0.6147699999999999,0.28214
Chile,Latin America and Caribbean,2015,27,6.67,0.85857,0.12869,1.12447,1.10715,0.44132,0.33363000000000004
Qatar,Middle East and Northern Africa,2015,28,6.611000000000001,0.79733,0.52208,1.0786,1.69042,0.6404,0.32573
France,Western Europe,2015,29,6.575,0.9457899999999999,0.20646,1.2603799999999998,1.27778,0.55011,0.12332
Argentina,Latin America and Caribbean,2015,30,6.574,0.78723,0.08484,1.24823,1.05351,0.44974,0.11450999999999999
Czech Republic,Central and Eastern Europe,2015,31,6.505,0.84483,0.02652,1.20643,1.17898,0.46363999999999994,0.10686
Uruguay,Latin America and Caribbean,2015,32,6.485,0.8116,0.24558000000000002,1.2089,1.06166,0.6036199999999999,0.2324
Colombia,Latin America and Caribbean,2015,33,6.477,0.69077,0.0512,1.2401799999999998,0.91861,0.53466,0.18400999999999998
Thailand,Southeastern Asia,2015,34,6.455,0.7385,0.031869999999999996,1.26504,0.9669,0.5566399999999999,0.5763
Saudi Arabia,Middle East and Northern Africa,2015,35,6.4110000000000005,0.72025,0.32524000000000003,1.0839299999999998,1.39541,0.31048000000000003,0.13706
Spain,Western Europe,2015,36,6.329,0.95562,0.06398,1.31379,1.23011,0.45951000000000003,0.18227000000000002
Malta,Western Europe,2015,37,6.3020000000000005,0.88721,0.13585999999999998,1.30203,1.2074,0.60365,0.51752
Taiwan,Eastern Asia,2015,38,6.297999999999999,0.8753,0.08129,1.07617,1.29098,0.3974,0.25376
Kuwait,Middle East and Northern Africa,2015,39,6.295,0.72492,0.25609,1.16594,1.5542200000000002,0.55499,0.16228
Suriname,Latin America and Caribbean,2015,40,6.269,0.6082,0.13633,0.972,0.99534,0.5965699999999999,0.16990999999999998
Trinidad and Tobago,Latin America and Caribbean,2015,41,6.167999999999999,0.61483,0.0114,1.18354,1.21183,0.55884,0.31844
El Salvador,Latin America and Caribbean,2015,42,6.13,0.67737,0.11775999999999999,1.0250700000000001,0.76454,0.4035,0.10692
Guatemala,Latin America and Caribbean,2015,43,6.122999999999999,0.64425,0.09472,1.04356,0.74553,0.57733,0.27489
Uzbekistan,Central and Eastern Europe,2015,44,6.002999999999999,0.59772,0.30826,1.34043,0.63244,0.6582100000000001,0.22837
Slovakia,Central and Eastern Europe,2015,45,5.995,0.7890199999999999,0.03431,1.26999,1.1689100000000001,0.31751,0.16893
Japan,Eastern Asia,2015,46,5.987,0.99111,0.1806,1.25712,1.27074,0.49615,0.10705
South Korea,Eastern Asia,2015,47,5.984,0.9653799999999999,0.07857,0.9577399999999999,1.24461,0.33208000000000004,0.18557
Ecuador,Latin America and Caribbean,2015,48,5.975,0.79075,0.1809,0.99903,0.8640200000000001,0.48573999999999995,0.11540999999999998
Bahrain,Middle East and Northern Africa,2015,49,5.96,0.74716,0.306,1.21624,1.32376,0.45492,0.17362
Italy,Western Europe,2015,50,5.9479999999999995,0.9544600000000001,0.02901,1.19777,1.25114,0.26236,0.22823000000000002
Bolivia,Latin America and Caribbean,2015,51,5.89,0.5392,0.08800000000000001,0.97841,0.68133,0.57414,0.20536
Moldova,Central and Eastern Europe,2015,52,5.888999999999999,0.61826,0.01615,1.01528,0.59448,0.32818,0.20951
Paraguay,Latin America and Caribbean,2015,53,5.877999999999999,0.66098,0.08242000000000001,1.30477,0.75985,0.53899,0.3424
Kazakhstan,Central and Eastern Europe,2015,54,5.855,0.64368,0.08454,1.1224100000000001,1.1225399999999999,0.51649,0.11827
Slovenia,Central and Eastern Europe,2015,55,5.848,0.8733700000000001,0.03787,1.27385,1.18498,0.60855,0.25328
Lithuania,Central and Eastern Europe,2015,56,5.832999999999999,0.73128,0.01031,1.25745,1.14723,0.21341999999999997,0.026410000000000003
Nicaragua,Latin America and Caribbean,2015,57,5.827999999999999,0.7431399999999999,0.19317,1.14184,0.59325,0.55475,0.27815
Peru,Latin America and Caribbean,2015,58,5.824,0.73017,0.05989,0.97459,0.9001899999999999,0.41496000000000005,0.14982
Belarus,Central and Eastern Europe,2015,59,5.813,0.7360800000000001,0.1909,1.23289,1.0319200000000002,0.37938,0.11045999999999999
Poland,Central and Eastern Europe,2015,60,5.791,0.77903,0.04212,1.27948,1.12555,0.53122,0.16759000000000002
Malaysia,Southeastern Asia,2015,61,5.77,0.7239399999999999,0.10500999999999999,1.07023,1.12486,0.5302399999999999,0.33075
Croatia,Central and Eastern Europe,2015,62,5.7589999999999995,0.78805,0.0243,0.79624,1.08254,0.25883,0.054439999999999995
Libya,Middle East and Northern Africa,2015,63,5.754,0.7038,0.11023,1.1186200000000002,1.13145,0.41668,0.18295
Russia,Central and Eastern Europe,2015,64,5.716,0.6692600000000001,0.03005,1.23617,1.13764,0.36679,0.00199
Jamaica,Latin America and Caribbean,2015,65,5.709,0.6874100000000001,0.02299,1.1510200000000002,0.81038,0.50442,0.2123
North Cyprus,Western Europe,2015,66,5.695,0.92356,0.1428,1.07008,1.2080600000000001,0.49027,0.26169000000000003
Cyprus,Western Europe,2015,67,5.689,0.92356,0.06146,0.89318,1.20813,0.40671999999999997,0.30638000000000004
Algeria,Middle East and Northern Africa,2015,68,5.605,0.61766,0.17382999999999998,1.07772,0.93929,0.28579,0.07822
Kosovo,Central and Eastern Europe,2015,69,5.5889999999999995,0.63132,0.04741,0.81198,0.80148,0.24749000000000002,0.2831
Turkmenistan,Central and Eastern Europe,2015,70,5.547999999999999,0.53886,0.30844,1.22668,0.95847,0.4761,0.16979
Mauritius,Sub-Saharan Africa,2015,71,5.477,0.7095,0.07521,0.98521,1.0076100000000001,0.56066,0.37744
Hong Kong,Eastern Asia,2015,72,5.474,1.01328,0.37124,1.05818,1.38604,0.59608,0.39478
Estonia,Central and Eastern Europe,2015,73,5.428999999999999,0.77361,0.15184,1.22791,1.15174,0.44888,0.0868
Indonesia,Southeastern Asia,2015,74,5.399,0.63793,0.0,1.0870799999999998,0.8282700000000001,0.46611,0.51535
Vietnam,Southeastern Asia,2015,75,5.36,0.7467600000000001,0.10440999999999999,0.9122600000000001,0.63216,0.59444,0.1686
Turkey,Middle East and Northern Africa,2015,76,5.332000000000001,0.73172,0.15746,0.94632,1.06098,0.22815,0.12253
Kyrgyzstan,Central and Eastern Europe,2015,77,5.2860000000000005,0.65088,0.042319999999999997,1.15115,0.47428000000000003,0.43477,0.3003
Nigeria,Sub-Saharan Africa,2015,78,5.268,0.16007000000000002,0.0403,0.9043200000000001,0.65435,0.34334000000000003,0.27233
Bhutan,Southern Asia,2015,79,5.252999999999999,0.57407,0.15445,1.10395,0.77042,0.5320600000000001,0.47998
Azerbaijan,Central and Eastern Europe,2015,80,5.212000000000001,0.64045,0.16065,0.9379299999999999,1.02389,0.3703,0.07799
Pakistan,Southern Asia,2015,81,5.194,0.51466,0.10464000000000001,0.41411000000000003,0.59543,0.12102,0.33671
